FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1717409400000,370,1,0,dn,dn,-0.5,0,nm,nm,0.3808,0
1717409700000,375,1,0,dn,up,0,1.25,nm,nm,0,0.7198
1717410000000,380,1,0,up,up,0.5,0.75,nm,nm,1.4552,0.4572
1717410300000,385,1,0,up,dn,0.75,-0.75,nm,nm,2.4725,0.5069
1717410600000,390,1,0,dn,dn,-0.5,-2.5,nm,mv,1.2511,1.6533
1717410900000,395,1,0,dn,dn,-1,-2,nm,mv,2.1213,1.3129
1717411200000,400,1,0,dn,dn,-1,-0.25,mv,nm,1.6445,0.1654
1717411500000,405,1,0,dn,up,0,2.75,nm,mv,0,1.7508
1717411800000,410,1,0,up,up,0.75,4,nm,mv,1.0975,2.6383
1717412100000,415,1,0,up,up,2,3.75,mv,mv,2.7351,2.4766
1717412400000,420,1,0,up,up,1.25,2.5,mv,mv,1.174,1.557
1717412700000,425,1,0,up,dn,0.5,-1.5,nm,nm,0.4485,0.7966
1717413000000,430,1,0,up,dn,0.75,-3.25,nm,mv,0.7955,1.6173
1717413300000,435,1,0,dn,dn,-2.75,-2.5,mv,mv,4.4,1.4331
1717413600000,440,1,0,dn,up,-1.25,1,mv,nm,0.8346,0.5518
1717413900000,445,1,0,up,up,1.5,4.25,mv,mv,0.9345,2.1162
1717414200000,450,1,0,up,up,0.75,4.25,nm,mv,0.4954,2.0602
1717414500000,455,1,0,up,up,2,3,mv,mv,1.3742,1.454
1717414800000,460,1,0,up,up,1.5,1.25,mv,nm,0.9091,0.5517
1717415100000,465,1,0,dn,dn,-0.5,-1.25,nm,nm,0.2913,0.5156
1717415400000,470,1,0,up,dn,0.25,-0.75,nm,nm,0.2137,0.3034
1717415700000,475,1,0,dn,up,-1,0.75,mv,nm,1.1767,0.3042
1717416000000,480,1,0,dn,up,0,0.25,nm,nm,0,0.0996
1717416300000,485,1,0,up,up,1.75,1.75,mv,mv,1.6537,0.6905
1717416600000,490,1,0,dn,dn,-1.5,-0.25,mv,nm,1.5052,0.0996
1717416900000,495,1,0,up,dn,1.5,-1.75,mv,mv,1.4458,0.7324
1717417200000,500,1,0,dn,dn,-0.25,-1.25,nm,mv,0.2106,0.5462
1717417500000,505,1,0,dn,dn,-3,-0.25,mv,nm,2.5082,0.1092
1717417800000,510,1,0,up,up,2,1.75,mv,mv,1.2153,0.7475
1717418100000,515,1,0,up,dn,0.75,-1.25,nm,mv,0.4049,0.5537
1717418400000,520,1,0,dn,dn,-1,-2.25,mv,mv,0.576,1.0581
1717418700000,525,1,1,dn,up,-1,1.25,mv,mv,0.5963,0.5978
1717419000000,530,1,1,dn,up,-0.25,3.5,nm,mv,0.1604,1.683
1717419300000,535,1,1,up,up,2.5,2.25,mv,mv,1.6036,1.1277
1717419600000,540,1,1,up,dn,1.25,-0.25,mv,nm,0.9078,0.1332
1717419900000,545,1,1,dn,up,-1.5,1.75,mv,mv,1.1862,0.8789
1717420200000,550,1,1,dn,up,0,3.75,nm,mv,0,2.0366
1717420500000,555,1,1,up,up,3.25,0.75,mv,nm,2.4048,0.4622
1717420800000,560,1,1,up,dn,0.5,-1.75,nm,mv,0.3053,1.1418
1717421100000,565,1,1,dn,dn,-3,-3.75,mv,mv,1.9053,2.1859
1717421400000,570,1,1,up,dn,0.75,-0.25,nm,nm,0.3783,0.15
1717421700000,575,1,1,dn,dn,-1.5,-7.25,mv,mv,0.7725,4.203
1717422000000,580,1,1,up,dn,0.5,-7.75,nm,mv,0.2575,3.9213
1717422300000,585,1,1,dn,dn,-6.25,-9.5,mv,mv,3.2038,4.7992
1717422600000,590,1,1,dn,dn,-2,-5.25,mv,mv,0.796,2.0394
1717422900000,595,1,1,dn,up,-1.25,3,mv,mv,0.5323,0.9711
1717423200000,600,1,1,dn,up,-2,5.75,mv,mv,0.8681,1.5597
1717423500000,605,1,1,up,up,6.25,6.5,mv,mv,3.0568,1.7081
1717423800000,610,1,1,up,dn,1.5,0,mv,nm,0.4005,0
1717424100000,615,1,1,dn,dn,-1.25,-6.25,mv,mv,0.3272,1.4907
1717424400000,620,1,1,dn,dn,-0.25,-8.5,nm,mv,0.0848,1.8783
1717424700000,625,1,1,dn,dn,-4.75,-8.75,mv,mv,1.6972,1.9414
1717425000000,630,1,1,dn,dn,-3.5,-13,mv,mv,1.0287,2.7787
1717425300000,635,1,1,dn,dn,-0.5,-14.75,nm,mv,0.1395,3.0309
1717425600000,640,1,1,dn,dn,-9,-13.5,mv,mv,4.3088,2.6752
1717425900000,645,1,1,dn,dn,-5.25,-8,mv,mv,1.7196,1.4281
1717426200000,650,1,1,up,up,0.75,2.5,nm,nm,0.2509,0.4093
1717426500000,655,1,1,dn,up,-3.5,1.25,mv,nm,1.0916,0.2012
1717426800000,660,1,1,up,up,5.25,7,mv,mv,1.655,1.1455
1717427100000,665,1,1,dn,up,-0.5,1.5,nm,nm,0.1099,0.2375
1717427400000,670,1,1,up,up,2.25,2.5,mv,nm,0.4946,0.3864
1717427700000,675,1,1,dn,dn,-0.25,-4.25,nm,mv,0.0716,0.6123
1717428000000,680,1,1,up,dn,0.5,-2.5,nm,nm,0.1866,0.3561
1717428300000,685,1,1,dn,dn,-4.5,-2.25,mv,nm,1.6791,0.3174
1717428600000,690,1,1,up,dn,1.5,0,nm,nm,0.5087,0
1717428900000,695,1,1,up,up,0.75,1,nm,nm,0.3474,0.1448
1717429200000,700,1,1,dn,dn,-2.25,-0.75,mv,nm,1.0337,0.1108
1717429500000,705,1,1,up,up,2.5,0.25,mv,nm,1.2144,0.0386
1717429800000,710,1,1,dn,dn,-1,-5.75,nm,mv,0.4185,0.9394
1717430100000,715,1,1,dn,dn,-1.25,-16.25,nm,mv,0.5261,2.6647
1717430400000,720,1,1,dn,dn,-3.5,-17.75,mv,mv,2.0993,2.8958
1717430700000,725,1,1,dn,dn,-11.5,-17.25,mv,mv,5.883,2.8594
1717431000000,730,1,1,dn,dn,-2.75,-5.5,mv,mv,0.6417,0.8294
1717431300000,735,1,1,dn,dn,-3,-8,mv,mv,0.7012,1.1301
1717431600000,740,1,1,up,up,0.25,3,nm,nm,0.0705,0.4103
1717431900000,745,1,1,dn,dn,-5.25,-0.25,mv,nm,1.4044,0.0359
1717432200000,750,1,1,up,up,8,6.25,mv,mv,2.2163,0.8985
1717432500000,755,1,1,dn,dn,-3,-3.25,mv,nm,0.5113,0.4655
1717432800000,760,1,1,up,dn,1.25,-1.25,nm,nm,0.2897,0.1803
1717433100000,765,1,1,dn,dn,-1.5,-5,nm,mv,0.3493,0.7278
1717433400000,770,1,1,dn,dn,-1,-5.25,nm,mv,0.2397,0.777
1717433700000,775,1,1,dn,dn,-2.5,-5.75,mv,mv,0.5976,0.8696
1717434000000,780,1,1,dn,up,-1.75,3.25,nm,nm,0.4683,0.4913
1717434300000,785,1,1,dn,up,-1.5,7,nm,mv,1.1037,1.0596
1717434600000,790,1,1,up,up,6.5,14.5,mv,mv,5.5573,2.1992
1717434900000,795,1,1,up,up,2,10.5,nm,mv,0.6515,1.5539
1717435200000,800,1,1,up,up,6,12,mv,mv,1.9248,1.6785
1717435500000,805,1,1,up,up,2.5,7.5,mv,mv,0.6802,0.9039
1717435800000,810,1,1,up,up,3.5,5,mv,mv,1.0862,0.5652
1717436100000,815,1,1,up,dn,1.5,-1.25,nm,nm,0.5614,0.1328
1717436400000,820,1,1,dn,dn,0,-1.75,nm,nm,0,0.1962
1717436700000,825,1,1,dn,up,-2.75,0.25,mv,nm,1.4803,0.0316
1717437000000,830,1,1,up,up,1,3,nm,nm,0.3649,0.4544
1717437300000,835,1,1,up,dn,2,-5.25,nm,mv,1.0041,0.8173
1717437600000,840,1,1,dn,dn,0,-2.25,nm,nm,0,0.3771
1717437900000,845,1,1,dn,up,-7.25,1.5,mv,nm,4.6958,0.2514
1717438200000,850,1,1,up,up,5,4,mv,nm,1.6228,0.645
1717438500000,855,1,1,up,up,3.75,2.5,mv,nm,0.9712,0.4031
1717438800000,860,1,1,dn,up,-4.75,1.5,mv,nm,1.2049,0.2466
1717439100000,865,1,1,up,up,3.5,6.5,mv,mv,0.7895,1.0755
1717439400000,870,1,1,up,up,2.75,4.75,mv,mv,0.5991,0.8223
1717439700000,875,1,1,up,dn,0.25,-3,nm,nm,0.0532,0.5499
1717440000000,880,1,1,up,up,1.75,0.25,nm,nm,0.5395,0.0495
1717440300000,885,1,1,dn,dn,-5,0,mv,nm,1.7183,0
1717440600000,890,1,1,up,up,3.5,4,mv,mv,1.0238,0.7646
1717440900000,895,1,1,up,up,1.5,2.25,nm,nm,0.5066,0.4989
1717441200000,900,1,1,dn,up,-1,2,nm,nm,0.3595,0.4873
1717441500000,905,1,1,up,up,1.75,5.5,nm,mv,0.6502,1.638
1717441800000,910,1,1,up,up,1.25,2.75,nm,nm,0.4535,0.9053
1717442100000,915,1,1,up,up,2.5,3.75,mv,mv,0.9184,1.2907
1717442400000,920,1,1,dn,dn,-1,-5,nm,mv,0.7276,1.6572
1717442700000,925,1,1,up,dn,2.25,-3,mv,nm,1.6649,1.0245
1717443000000,930,1,1,dn,dn,-6.25,-0.5,mv,nm,4.3428,0.1699
1717443300000,935,1,1,up,up,1,7.5,nm,mv,0.3274,2.2593
1717443600000,940,1,1,up,up,4.75,18.5,mv,mv,1.5844,5.9662
1717443900000,945,1,0,up,up,1.75,13.25,nm,mv,0.5011,4.4079
1717444200000,950,1,0,up,up,12,12.25,mv,mv,3.4956,3.7236
1717444500000,955,1,0,dn,up,-0.5,1.25,nm,nm,0.0927,0.2495
1717444800000,960,1,0,up,up,0.75,4,nm,nm,0.1359,0.7206
1717445100000,965,1,0,up,up,1,3.75,nm,nm,0.2374,0.6373
1717445400000,970,1,0,up,up,2.25,1.5,mv,nm,0.5342,0.255
1717445700000,975,1,0,up,dn,0.5,-0.25,nm,nm,0.1199,0.0425
1717446000000,980,1,0,dn,dn,-1.25,-1.25,nm,nm,0.294,0.2212
1717446300000,985,1,0,up,dn,0.5,0,nm,nm,0.4494,0
1717446600000,990,1,0,dn,dn,-0.5,-1.5,nm,nm,0.4863,0.2668
1717446900000,995,1,0,dn,dn,0,-1.5,nm,nm,0,0.2607
1717447200000,1000,1,0,dn,dn,-1,-1.5,nm,nm,0.9258,0.2581
1717447500000,1005,1,0,dn,dn,-0.5,-2.25,nm,nm,0.7317,0.38
1717447800000,1010,1,0,dn,dn,0,-1,nm,nm,0,0.1666
1717448100000,1015,1,0,dn,dn,-1.75,-1,nm,nm,3.6556,0.1641
1717452000000,1080,2,0,up,up,0.75,0.25,nm,nm,1.2333,0.0403
1717452300000,1085,2,0,dn,up,0,0.75,nm,nm,0,0.1251
1717452600000,1090,2,0,dn,up,-0.5,0.75,nm,nm,0.6255,0.127
1717452900000,1095,2,0,up,up,1.25,2.5,nm,nm,1.6465,0.4248
1717453200000,1100,2,0,dn,up,0,1.75,nm,nm,0,0.3021
1717453500000,1105,2,0,up,dn,1.25,0,nm,nm,1.3143,0
1717453800000,1110,2,0,up,dn,0.5,-0.75,nm,nm,0.7485,0.2301
1717454100000,1115,2,0,dn,dn,-1.75,-1.75,mv,nm,2.667,0.9779
1717454400000,1120,2,0,up,dn,0.5,-0.25,nm,nm,0.477,0.1407
1717454700000,1125,2,0,dn,dn,-0.5,-0.5,nm,nm,0.4928,0.3242
1717455000000,1130,2,0,dn,up,-0.25,0.5,nm,nm,0.2641,0.3855
1717455300000,1135,2,0,up,up,0.25,0.5,nm,nm,0.2629,0.409
1717455600000,1140,2,0,up,up,0.5,0.25,nm,nm,0.6387,0.2045
1717455900000,1145,2,0,dn,dn,-0.25,-0.25,nm,nm,0.3193,0.2048
1717456200000,1150,2,0,dn,dn,0,-0.75,nm,nm,0,0.6083
1717456500000,1155,2,0,dn,dn,0,-1,nm,nm,0,0.8324
1717456800000,1160,2,0,dn,dn,-0.75,-1,nm,nm,2.8111,0.8633
1717457100000,1165,2,0,dn,dn,-0.25,-1.75,nm,nm,0.636,1.5618
1717457400000,1170,2,0,dn,dn,0,-2,nm,nm,0,1.9662
1717457700000,1175,2,0,dn,dn,-1.5,-2.25,mv,nm,5.6223,2.2119
1717458000000,1180,2,0,dn,dn,-0.5,-1.25,nm,nm,0.9045,1.1669
1717458300000,1185,2,0,dn,up,-0.25,1.75,nm,nm,0.4804,1.5116
1717458600000,1190,2,0,dn,up,-0.5,2.75,nm,mv,1.0252,2.2402
1717458900000,1195,2,0,up,up,2.5,3.75,mv,mv,5.2223,3.0866
1717459200000,1200,2,0,up,up,0.75,1.25,nm,nm,0.6106,1.1135
1717459500000,1205,2,0,up,up,0.5,2,nm,nm,0.3956,1.6007
1717459800000,1210,2,0,dn,up,0,1.5,nm,nm,0,0.9528
1717460100000,1215,2,0,up,up,1.5,2.25,mv,nm,1.5159,1.4032
1717460400000,1220,2,0,dn,up,0,0.75,nm,nm,0,0.4628
1717460700000,1225,2,0,up,up,0.75,0.5,nm,nm,0.8457,0.3032
1717461000000,1230,2,0,dn,dn,0,-1.25,nm,nm,0,0.7336
1717461300000,1235,2,0,dn,dn,-0.25,0,nm,nm,0.4562,0
1717461600000,1240,2,0,dn,dn,-1,-0.25,nm,nm,1.6483,0.1465
1717461900000,1245,2,0,up,up,1.25,0.25,mv,nm,1.59,0.1432
1717462200000,1250,2,0,dn,dn,-0.5,-2.5,nm,mv,0.6963,1.4347
1717462500000,1255,2,0,dn,dn,-0.5,-2.5,nm,mv,0.6616,1.4454
1717462800000,1260,2,0,dn,dn,-1.5,-2.25,mv,mv,2.1362,1.3234
1717463100000,1265,2,0,dn,dn,-0.5,-1.25,nm,mv,0.5883,0.6944
1717463400000,1270,2,0,dn,dn,-0.25,-0.5,nm,nm,0.2952,0.2696
1717463700000,1275,2,0,dn,dn,-0.5,-0.5,mv,nm,0.6156,0.267
1717464000000,1280,2,0,up,up,0.25,1.25,nm,mv,0.6222,0.69
1717464300000,1285,2,0,dn,up,-0.25,2.75,nm,mv,0.4804,1.5418
1717464600000,1290,2,0,up,up,1.25,2.75,mv,mv,2.3643,1.5628
1717464900000,1295,2,0,up,up,1.75,1.5,mv,mv,2.8577,0.8975
1717465200000,1300,2,0,dn,dn,-0.25,-0.75,nm,nm,0.2981,0.4797
1717465500000,1305,2,0,dn,dn,0,-2.25,nm,mv,0,1.3551
1717465800000,1310,2,0,dn,dn,-0.5,-1.5,mv,mv,0.6498,0.9183
1717466100000,1315,2,0,dn,dn,-1.75,-1.5,mv,mv,2.0592,0.9314
1717466400000,1320,2,0,up,dn,0.75,0,mv,nm,0.6512,0
1717466700000,1325,2,0,dn,dn,-0.5,-0.75,mv,nm,0.4629,0.469
1717467000000,1330,2,0,dn,dn,-0.25,-1,nm,mv,0.3349,0.6231
1717467300000,1335,2,0,dn,dn,0,0,nm,nm,0,0
1717467600000,1340,2,0,dn,dn,-0.75,-0.25,mv,nm,1.0047,0.1567
1717467900000,1345,2,0,up,up,0.75,1.25,mv,mv,0.9879,0.7814
1717468200000,1350,2,0,dn,up,-0.25,0.25,nm,nm,0.433,0.1568
1717468500000,1355,2,0,up,up,0.75,0.25,mv,nm,1.591,0.1646
1717468800000,1360,2,0,dn,dn,-0.25,-0.75,nm,nm,0.4562,0.5103
1717469100000,1365,2,0,dn,dn,-0.25,-1.25,nm,mv,0.4562,0.9047
1717469400000,1370,2,0,dn,dn,-0.25,0,nm,nm,0.4472,0
1717469700000,1375,2,0,dn,dn,-0.75,0,mv,nm,1.591,0
1717470000000,1380,2,0,up,dn,1,0,mv,nm,2.2283,0
