FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728378900000,315,2,0,up,up,0.07,0.13,nm,nm,0.2329,0.3959
1728379200000,320,2,0,up,up,0.14,0.03,nm,nm,0.4623,0.0912
1728379500000,325,2,0,dn,up,-0.08,0.06,nm,nm,0.2714,0.1706
1728379800000,330,2,0,dn,up,-0.03,0.03,nm,nm,0.1232,0.096
1728380100000,335,2,0,up,up,0.17,0.17,mv,nm,0.6905,0.5425
1728380400000,340,2,0,dn,dn,-0.11,-0.09,nm,nm,0.5042,0.2939
1728380700000,345,2,0,up,up,0.11,0.11,nm,nm,1.0292,0.3666
1728381000000,350,2,0,dn,up,-0.09,0.1,nm,nm,0.8141,0.335
1728381300000,355,2,0,up,up,0.09,0.27,nm,mv,0.8432,0.8883
1728381600000,360,2,0,up,up,0.1,0.07,nm,nm,0.9468,0.2324
1728381900000,365,2,0,up,dn,0.08,-0.2,nm,mv,0.7562,0.7708
1728382200000,370,2,0,dn,dn,-0.11,-0.17,nm,nm,1.1885,0.655
1728382500000,375,2,0,dn,dn,-0.17,-0.45,mv,mv,1.8367,1.7026
1728382800000,380,2,0,up,dn,0.11,-0.26,nm,mv,1.0046,0.9342
