Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 10:20 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
76;_trend_(1,716,565,800,000,1.0004,0.4999,0.3335,0.1665,0.0834,1.0009,0.5004,0.3341,0.1661,0.0832,46.7742,-10.842,-0.9875,-2.3288,0.0001,-0);Buy to Open;1;50.0;$5,316.25;5/24/24, 11:55 AM;;$9,000.00;0.0;
77;_trend_(SellClose);Sell to Close;-1;-50.0;$5,321.75;5/24/24, 12:00 PM;$137.50;$8,987.50;-50.0;
78;_trend_(1,716,566,100,000,1,0.5002,0.3333,0.1666,0.0834,0.9996,0.5,0.3334,0.1664,0.0831,40.3509,-9.7948,2.8962,3.8837,0.0001,-0.0002);Buy to Open;1;50.0;$5,319.00;5/24/24, 12:00 PM;;$9,137.50;0.0;
79;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:05 PM;$125.00;$9,150.00;-50.0;
80;_trend_(1,716,566,400,000,1.0002,0.5001,0.3335,0.1665,0.0833,1.0003,0.5002,0.334,0.1664,0.083,44.2308,-4.6003,2.9583,0.062,-0.0001,-0.0003);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:05 PM;;$9,262.50;0.0;
81;_trend_(SellClose);Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:10 PM;$137.50;$9,250.00;-50.0;
82;_trend_(1,716,566,700,000,1,0.5001,0.3334,0.1668,0.0833,0.9998,0.5,0.3332,0.167,0.083,46.1538,-2.3377,1.9943,-0.964,0,-0);Buy to Open;1;50.0;$5,321.00;5/24/24, 12:10 PM;;$9,400.00;0.0;
83;_trend_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:15 PM;$162.50;$9,375.00;-50.0;
84;_trend_(1,716,567,000,000,1.0003,0.5002,0.3335,0.1667,0.0833,1.0003,0.5001,0.3336,0.167,0.0829,59.6154,3.8969,0.678,-1.3163,-0,0.0001);Buy to Open;1;50.0;$5,322.00;5/24/24, 12:15 PM;;$9,562.50;0.0;
85;_trend_(SellClose);Sell to Close;-1;-50.0;$5,326.50;5/24/24, 12:20 PM;$162.50;$9,637.50;-50.0;
