Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
171;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.50;10/7/24, 1:10 AM;$100.00;$8,875.00;-50.0;
172;_calendar_(1,728,277,500,000|65|1|0|dn|nm);Buy to Open;1;50.0;$5,794.50;10/7/24, 1:10 AM;;$8,887.50;0.0;
173;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.00;10/7/24, 1:15 AM;$37.50;$8,862.50;-50.0;
174;_calendar_(1,728,277,800,000|70|1|0|dn|mv);Buy to Open;1;50.0;$5,794.25;10/7/24, 1:15 AM;;$8,925.00;0.0;
175;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.75;10/7/24, 1:20 AM;$87.50;$9,012.50;-50.0;
176;_calendar_(1,728,278,100,000|75|1|0|up|mv);Buy to Open;1;50.0;$5,794.00;10/7/24, 1:20 AM;;$9,012.50;0.0;
177;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.50;10/7/24, 1:25 AM;$100.00;$9,125.00;-50.0;
178;_calendar_(1,728,278,400,000|80|1|0|dn|mv);Buy to Open;1;50.0;$5,793.50;10/7/24, 1:25 AM;;$9,112.50;0.0;
179;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,794.50;10/7/24, 1:30 AM;$100.00;$9,300.00;-50.0;
180;_calendar_(1,728,278,700,000|85|1|0|dn|mv);Buy to Open;1;50.0;$5,792.50;10/7/24, 1:30 AM;;$9,212.50;0.0;
181;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,793.25;10/7/24, 1:35 AM;$137.50;$9,237.50;-50.0;
182;_calendar_(1,728,279,000,000|90|1|0|dn|nm);Buy to Open;1;50.0;$5,790.50;10/7/24, 1:35 AM;;$9,350.00;0.0;
183;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,793.25;10/7/24, 1:40 AM;$112.50;$9,412.50;-50.0;
184;_calendar_(1,728,279,300,000|95|1|0|up|mv);Buy to Open;1;50.0;$5,791.00;10/7/24, 1:40 AM;;$9,462.50;0.0;
185;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,793.25;10/7/24, 1:45 AM;$87.50;$9,537.50;-50.0;
186;_calendar_(1,728,279,600,000|100|1|0|dn|nm);Buy to Open;1;50.0;$5,791.50;10/7/24, 1:45 AM;;$9,550.00;0.0;
187;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,792.50;10/7/24, 1:50 AM;$62.50;$9,612.50;-50.0;
