FT,ToD,DoW,MO,DIR,MOVE
1728390600000,510,2,0,up,nm
1728390900000,515,2,0,up,nm
1728391200000,520,2,0,dn,nm
1728391500000,525,2,1,dn,nm
1728391800000,530,2,1,up,nm
1728392100000,535,2,1,dn,mv
1728392400000,540,2,1,up,mv
1728392700000,545,2,1,dn,mv
1728393000000,550,2,1,up,mv
1728393300000,555,2,1,up,mv
1728393600000,560,2,1,dn,mv
1728393900000,565,2,1,up,mv
1728394200000,570,2,1,dn,mv
1728394500000,575,2,1,dn,mv
1728394800000,580,2,1,up,mv
1728395100000,585,2,1,up,mv
1728395400000,590,2,1,up,mv
1728395700000,595,2,1,up,nm
1728396000000,600,2,1,up,mv
1728396300000,605,2,1,dn,mv
1728396600000,610,2,1,dn,mv
1728396900000,615,2,1,up,mv
1728397200000,620,2,1,dn,mv
1728397500000,625,2,1,up,mv
1728397800000,630,2,1,up,mv
1728398100000,635,2,1,dn,mv
1728398400000,640,2,1,up,nm
1728398700000,645,2,1,up,nm
1728399000000,650,2,1,dn,nm
1728399300000,655,2,1,up,mv
1728399600000,660,2,1,up,mv
1728399900000,665,2,1,dn,mv
1728400200000,670,2,1,dn,mv
1728400500000,675,2,1,up,nm
1728400800000,680,2,1,dn,mv
1728401100000,685,2,1,up,nm
1728401400000,690,2,1,dn,nm
1728401700000,695,2,1,up,mv
1728402000000,700,2,1,up,mv
1728402300000,705,2,1,dn,nm
1728402600000,710,2,1,up,mv
1728402900000,715,2,1,up,mv
1728403200000,720,2,1,dn,nm
1728403500000,725,2,1,dn,nm
1728403800000,730,2,1,dn,mv
1728404100000,735,2,1,up,nm
1728404400000,740,2,1,dn,mv
1728404700000,745,2,1,up,nm
1728405000000,750,2,1,dn,mv
1728405300000,755,2,1,up,nm
1728405600000,760,2,1,dn,nm
1728405900000,765,2,1,dn,nm
1728406200000,770,2,1,up,mv
1728406500000,775,2,1,dn,mv
1728406800000,780,2,1,dn,mv
1728407100000,785,2,1,dn,mv
1728407400000,790,2,1,up,nm
1728407700000,795,2,1,dn,mv
1728408000000,800,2,1,up,nm
1728408300000,805,2,1,dn,nm
1728408600000,810,2,1,up,nm
1728408900000,815,2,1,dn,nm
1728409200000,820,2,1,up,mv
1728409500000,825,2,1,dn,mv
1728409800000,830,2,1,up,mv
1728410100000,835,2,1,up,nm
1728410400000,840,2,1,up,nm
1728410700000,845,2,1,dn,nm
1728411000000,850,2,1,up,nm
1728411300000,855,2,1,dn,nm
1728411600000,860,2,1,dn,mv
1728411900000,865,2,1,up,mv
1728412200000,870,2,1,up,mv
1728412500000,875,2,1,up,nm
1728412800000,880,2,1,dn,mv
1728413100000,885,2,1,up,nm
1728413400000,890,2,1,up,nm
1728413700000,895,2,1,up,nm
1728414000000,900,2,1,dn,mv
1728414300000,905,2,1,dn,mv
1728414600000,910,2,1,up,mv
1728414900000,915,2,1,up,mv
1728415200000,920,2,1,dn,mv
1728415500000,925,2,1,dn,mv
1728415800000,930,2,1,up,nm
1728416100000,935,2,1,up,nm
1728416400000,940,2,1,dn,mv
1728416700000,945,2,0,up,mv
1728417000000,950,2,0,up,mv
1728417300000,955,2,0,dn,nm
