FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728308400000,580,1,1,up,dn,0.5,-3.25,nm,mv,0.3239,2.0744
1728308700000,585,1,1,dn,up,-3.25,2.5,mv,mv,2.1905,1.6032
1728309000000,590,1,1,dn,up,-0.5,4.75,nm,mv,0.2659,2.3174
1728309300000,595,1,1,up,up,6.25,8.25,mv,mv,3.9625,3.7499
1728309600000,600,1,1,dn,up,-1,4.5,mv,mv,0.3232,1.9905
1728309900000,605,1,1,up,up,3,3,mv,mv,0.9705,1.2136
1728310200000,610,1,1,up,dn,2.5,-0.75,mv,nm,0.8186,0.2484
1728310500000,615,1,1,dn,dn,-2.5,-2.75,mv,mv,0.8044,0.8761
1728310800000,620,1,1,dn,dn,-0.75,-2.75,nm,mv,0.2552,0.8668
1728311100000,625,1,1,up,dn,0.5,-4.5,nm,mv,0.1686,1.436
1728311400000,630,1,1,dn,dn,-2.5,-3.75,mv,mv,1.2824,1.18
1728311700000,635,1,1,dn,up,-2.5,1,mv,nm,1.146,0.3048
1728312000000,640,1,1,up,up,1.25,2.75,mv,mv,0.6647,0.7957
1728312300000,645,1,1,up,dn,2.25,-2.75,mv,mv,1.4686,0.773
1728312600000,650,1,1,dn,dn,-0.75,-2.25,nm,mv,0.4168,0.6322
1728312900000,655,1,1,dn,up,-4.25,2.25,mv,mv,2.3619,0.6246
1728313200000,660,1,1,up,up,2.75,7.75,mv,mv,1.2156,2.1214
1728313500000,665,1,1,up,up,3.75,5.25,mv,mv,1.4746,1.4344
1728313800000,670,1,1,up,up,1.25,1.25,mv,nm,0.4685,0.3416
1728314100000,675,1,1,up,up,0.25,0.5,nm,nm,0.0937,0.1232
1728314400000,680,1,1,dn,dn,-0.25,-3,nm,mv,0.0964,0.7607
1728314700000,685,1,1,up,dn,0.5,-3.5,nm,mv,0.1953,0.9205
1728315000000,690,1,1,dn,dn,-3.25,-3.75,mv,mv,2.2774,0.9881
1728315300000,695,1,1,dn,dn,-0.75,-0.5,nm,nm,0.3623,0.1313
1728315600000,700,1,1,up,dn,0.25,-1.75,nm,mv,0.1752,0.5053
1728315900000,705,1,1,dn,dn,0,-4,nm,mv,0,1.1767
1728316200000,710,1,1,dn,dn,-2,-6.5,mv,mv,1.5929,1.9686
1728316500000,715,1,1,dn,dn,-2,-3.25,mv,mv,1.4877,0.9808
1728316800000,720,1,1,dn,up,-2.5,0.75,mv,nm,2.0215,0.2225
1728317100000,725,1,1,up,up,1.25,4.25,mv,mv,1.1822,1.1799
1728317400000,730,1,1,up,up,2,1.5,mv,nm,1.4317,0.4234
1728317700000,735,1,1,up,dn,1,-3.25,nm,mv,0.5765,0.933
1728318000000,740,1,1,dn,dn,-1.5,-4.75,mv,mv,0.8222,1.3052
1728318300000,745,1,1,dn,dn,-2.75,-5,mv,mv,1.5639,1.3924
1728318600000,750,1,1,dn,dn,-0.5,-0.75,nm,nm,0.2636,0.2077
1728318900000,755,1,1,dn,dn,-1.75,-1,mv,nm,1.0526,0.2686
1728319200000,760,1,1,up,up,1.5,1.5,mv,nm,0.9162,0.3963
1728319500000,765,1,1,dn,up,-0.75,2,nm,mv,0.4962,0.6371
1728319800000,770,1,1,up,up,0.75,2.5,nm,mv,0.5689,0.9295
1728320100000,775,1,1,up,up,2,2,mv,mv,1.4021,0.7391
1728320400000,780,1,1,dn,up,-0.25,0.75,nm,nm,0.1896,0.2681
1728320700000,785,1,1,up,dn,0.25,-2,nm,mv,0.1925,0.6807
1728321000000,790,1,1,up,dn,0.75,-4.5,nm,mv,0.7863,1.5045
1728321300000,795,1,1,dn,dn,-3,-5.75,mv,mv,3.4442,1.9507
1728321600000,800,1,1,dn,dn,-2.25,-3,mv,mv,1.4621,1.0144
1728321900000,805,1,1,dn,dn,-0.5,-1.25,nm,nm,0.291,0.4079
1728322200000,810,1,1,dn,dn,-0.25,-2.25,nm,mv,0.1861,0.7075
