Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 11:05 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
66;_participation_(1,716,564,300,000,13,620,12,327.5,13,702.3333,17,450.1667,15,301.75,1.1048,0.994,0.7805,0.8901,-0.1716,0.2492,N/A,-0.0002,-0.0001,-0.0001,0.0001,0.0001);Buy to Open;1;50.0;$5,323.00;5/24/24, 11:30 AM;;$7,625.00;0.0;
67;_participation_;Sell to Close;-1;-50.0;$5,327.25;5/24/24, 11:35 AM;$187.50;$8,100.00;-50.0;
68;_participation_(1,716,564,600,000,9,879,11,749.5,11,511.3333,14,947.5,15,214.0833,0.8408,0.8582,0.6609,0.6493,-0.0806,-0.0647,N/A,0.0003,0,0,0,0.0001);Buy to Open;1;50.0;$5,323.50;5/24/24, 11:35 AM;;$7,812.50;0.0;
69;_participation_;Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:40 AM;$487.50;$8,075.00;-50.0;
70;_participation_(1,716,564,900,000,27,925,18,902,17,141.3333,16,221.5,16,350.9167,1.4774,1.6291,1.7215,1.7079,0.2283,-0.0575,N/A,-0.0003,-0.0002,-0.0002,-0.0001,0);Buy to Open;1;50.0;$5,317.25;5/24/24, 11:40 AM;;$8,300.00;0.0;
71;_participation_;Sell to Close;-1;-50.0;$5,322.75;5/24/24, 11:45 AM;$250.00;$8,487.50;-50.0;
72;_participation_(1,716,565,200,000,11,930,19,927.5,16,578,15,140.1667,16,215.3333,0.5987,0.7196,0.788,0.7357,-0.0985,0.0443,N/A,0.0003,-0.0001,-0,-0.0001,0.0001);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:45 AM;;$8,550.00;0.0;
73;_participation_;Sell to Close;-1;-50.0;$5,321.75;5/24/24, 11:50 AM;$200.00;$8,587.50;-50.0;
74;_participation_(1,716,565,500,000,10,022,10,976,16,625.6667,14,068.5,15,889.75,0.9131,0.6028,0.7124,0.6307,-0.108,0.0702,N/A,-0.0003,0.0001,-0.0002,-0.0001,0);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:50 AM;;$8,750.00;0.0;
75;_participation_;Sell to Close;-1;-50.0;$5,321.25;5/24/24, 11:55 AM;$250.00;$8,775.00;-50.0;
76;_participation_(1,716,565,800,000,11,682,10,852,11,211.3333,14,176.3333,15,961.4167,1.0765,1.042,0.824,0.7319,-0.1868,0.1102,N/A,0.0002,-0,0.0001,-0.0001,0);Buy to Open;1;50.0;$5,316.25;5/24/24, 11:55 AM;;$9,000.00;0.0;
77;_participation_;Sell to Close;-1;-50.0;$5,321.75;5/24/24, 12:00 PM;$137.50;$8,987.50;-50.0;
78;_participation_(1,716,566,100,000,8,149,9,915.5,9,951,13,264.5,15,357.3333,0.8218,0.8189,0.6143,0.5306,-0.0486,-0.0125,N/A,-0,0.0001,-0,-0,0);Buy to Open;1;50.0;$5,319.00;5/24/24, 12:00 PM;;$9,137.50;0.0;
79;_participation_;Sell to Close;-1;-50.0;$5,322.50;5/24/24, 12:05 PM;$125.00;$9,150.00;-50.0;
80;_participation_(1,716,566,400,000,10,282,9,215.5,10,037.6667,13,331.6667,14,139.5833,1.1157,1.0243,0.7712,0.7272,0.2053,0.2192,N/A,0.0001,0.0001,0.0001,-0.0001,-0);Buy to Open;1;50.0;$5,320.00;5/24/24, 12:05 PM;;$9,262.50;0.0;
81;_participation_;Sell to Close;-1;-50.0;$5,323.75;5/24/24, 12:10 PM;$137.50;$9,250.00;-50.0;
82;_participation_(1,716,566,700,000,8,012,9,147,8,814.3333,10,012.8333,13,117.1667,0.8759,0.909,0.8002,0.6108,0.0402,-0.0439,N/A,0,0.0001,0,0.0001,-0);Buy to Open;1;50.0;$5,321.00;5/24/24, 12:10 PM;;$9,400.00;0.0;
83;_participation_;Sell to Close;-1;-50.0;$5,325.25;5/24/24, 12:15 PM;$162.50;$9,375.00;-50.0;
