Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
118;_calendar_(1,728,355,800,000|1,370|2|0|dn|up|-0.25|0.75|nm|nm|0.1382|0.2431);Buy to Open;1;50.0;$5,744.00;10/7/24, 10:55 PM;;$11,400.00;0.0;
119;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.00;10/7/24, 11:00 PM;$137.50;$11,500.00;-50.0;
120;_calendar_(1,728,356,100,000|1,375|2|0|dn|up|0|0.5|nm|nm|0|0.1657);Buy to Open;1;50.0;$5,746.25;10/7/24, 11:00 PM;;$11,537.50;0.0;
121;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.00;10/7/24, 11:05 PM;$75.00;$11,537.50;-50.0;
122;_calendar_(1,728,356,400,000|1,380|2|0|up|dn|1|-1.5|nm|nm|0.7047|0.5065);Buy to Open;1;50.0;$5,746.50;10/7/24, 11:05 PM;;$11,612.50;0.0;
123;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.00;10/7/24, 11:10 PM;$125.00;$11,687.50;-50.0;
124;_calendar_(1,728,356,700,000|1,385|2|0|dn|dn|-0.5|-1.75|nm|nm|0.3735|0.6134);Buy to Open;1;50.0;$5,746.50;10/7/24, 11:10 PM;;$11,737.50;0.0;
125;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.75;10/7/24, 11:15 PM;$100.00;$11,900.00;-50.0;
126;_calendar_(1,728,357,000,000|1,390|2|0|dn|dn|-2|-2.25|mv|mv|2.1466|0.8196);Buy to Open;1;50.0;$5,746.75;10/7/24, 11:15 PM;;$11,837.50;0.0;
127;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.75;10/7/24, 11:20 PM;$112.50;$11,912.50;-50.0;
128;_calendar_(1,728,357,300,000|1,395|2|0|up|dn|0.75|-0.5|nm|nm|0.6348|0.2057);Buy to Open;1;50.0;$5,745.50;10/7/24, 11:20 PM;;$11,950.00;0.0;
129;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.25;10/7/24, 11:25 PM;$87.50;$12,050.00;-50.0;
130;_calendar_(1,728,357,600,000|1,400|2|0|dn|dn|-1|-0.5|nm|nm|1.0252|0.2137);Buy to Open;1;50.0;$5,745.50;10/7/24, 11:25 PM;;$12,037.50;0.0;
131;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.50;10/7/24, 11:30 PM;$100.00;$12,112.50;-50.0;
132;_calendar_(1,728,357,900,000|1,405|2|0|dn|up|-0.25|1|nm|nm|0.2439|0.433);Buy to Open;1;50.0;$5,744.50;10/7/24, 11:30 PM;;$12,137.50;0.0;
133;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.00;10/7/24, 11:35 PM;$100.00;$12,150.00;-50.0;
134;_calendar_(1,728,358,200,000|1,410|2|0|up|dn|0.75|-0.5|nm|nm|0.7373|0.2335);Buy to Open;1;50.0;$5,744.00;10/7/24, 11:35 PM;;$12,237.50;0.0;
135;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.00;10/7/24, 11:40 PM;$75.00;$12,225.00;-50.0;
