FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729544100000,1015,1,0,dn,up,-0.5,0.75,nm,nm,0.8242,0.1618
1729548000000,1080,2,0,up,up,2,0.25,mv,nm,3.3202,0.0582
1729548300000,1085,2,0,dn,dn,-0.75,-0.5,nm,nm,0.7886,0.1276
1729548600000,1090,2,0,dn,dn,-1,-0.25,nm,nm,1.0133,0.0696
1729548900000,1095,2,0,up,up,1.25,0.25,mv,nm,1.201,0.0692
1729549200000,1100,2,0,dn,dn,-0.5,-2,nm,nm,0.4519,0.5641
1729549500000,1105,2,0,dn,dn,-0.5,-2.25,nm,mv,0.4447,0.8883
1729549800000,1110,2,0,dn,dn,-1,-1.75,nm,nm,0.8895,0.9318
1729550100000,1115,2,0,dn,dn,-0.75,-0.75,nm,nm,0.9705,0.6015
1729550400000,1120,2,0,dn,dn,0,-0.75,nm,nm,0,0.5485
1729550700000,1125,2,0,dn,up,0,0.5,nm,nm,0,0.3518
1729551000000,1130,2,0,dn,dn,-0.75,-1,nm,nm,2.0513,0.7596
1729551300000,1135,2,0,up,dn,1.25,-0.25,mv,nm,3.2733,0.1992
1729551600000,1140,2,0,dn,dn,-1.5,-1.5,mv,nm,1.9847,1.3123
1729551900000,1145,2,0,dn,dn,0,0,nm,nm,0,0
1729552200000,1150,2,0,dn,up,0,0.5,nm,nm,0,0.493
1729552500000,1155,2,0,dn,up,0,0.25,nm,nm,0,0.2507
1729552800000,1160,2,0,up,dn,0.5,-0.5,nm,nm,0.597,0.5048
1729553100000,1165,2,0,dn,dn,-0.25,-0.75,nm,nm,0.3042,0.7514
1729553400000,1170,2,0,dn,dn,-0.75,-0.75,nm,nm,1.2108,0.7771
1729553700000,1175,2,0,up,up,0.25,0.5,nm,nm,0.6708,0.5695
1729554000000,1180,2,0,dn,dn,-0.25,0,nm,nm,0.636,0
1729554300000,1185,2,0,up,dn,0.5,-3,nm,mv,1.2511,3.7487
1729554600000,1190,2,0,dn,dn,-0.25,-5,nm,mv,0.5477,5.9409
