Strategy report
Symbol: /ES:XCME
Work Time: 9/16/24, 3:05 PM - 9/20/24, 8:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
105;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.75;9/16/24, 7:25 PM;$87.50;$4,162.50;-50.0;
106;DATA(1,726,539,600,000|38.8889|-18.5185|0|0|155|-0.5|-1|1|1,340|2,450.3013|4.9422|2.3991|15.2926|41.5472|-61.1111|0.75|in|in|up|in|in|in);Buy to Open;1;50.0;$5,692.00;9/16/24, 7:25 PM;;$4,187.50;0.0;
107;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.50;9/16/24, 7:30 PM;$62.50;$4,250.00;-50.0;
108;DATA(1,726,539,900,000|44.4444|-5.5556|0|0|130|-0.75|-2|1.5|1,345|2,250.9316|-4.1041|-1.4915|14.8519|43.2715|-58.8235|0.25|in|in|up|in|in|in);Buy to Open;1;50.0;$5,692.25;9/16/24, 7:30 PM;;$4,250.00;0.0;
109;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.00;9/16/24, 7:35 PM;$50.00;$4,275.00;-50.0;
110;DATA(1,726,540,200,000|38.8889|-1.8519|0|0|332|-1.25|-2|-0.25|1,350|4,861.1527|-17.1035|-2.8587|14.7611|41.9224|-84.6154|-0.75|up|in|up|in|in|in);Buy to Open;1;50.0;$5,692.00;9/16/24, 7:35 PM;;$4,300.00;0.0;
111;DATA(SellClose);Sell to Close;-1;-50.0;$5,692.50;9/16/24, 7:40 PM;$37.50;$4,262.50;-50.0;
112;DATA(1,726,540,500,000|44.4444|1.8519|0|0|173|0.25|-0.25|-0.25|1,355|2,486.2073|1.4334|-4.0147|14.9908|43.8328|-76.9231|0|up|in|up|in|in|in);Buy to Open;1;50.0;$5,691.75;9/16/24, 7:40 PM;;$4,337.50;0.0;
113;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.50;9/16/24, 7:45 PM;$50.00;$4,312.50;-50.0;
114;DATA(1,726,540,800,000|61.1111|12.963|0|0|119|0.75|0|-1.25|1,360|1,717.8022|55.9339|-2.4407|13.8459|49.2916|-53.8462|-1.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.50;9/16/24, 7:45 PM;;$4,387.50;0.0;
