FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,vpm5,vpm10,vpm15,vpm30,vpm60,ToD,DoW,MO,Dr3_Model,Dr3,Dc1,Dc3,Dr1,Mc1,Mc3,Mr1,Mr3
1728263100000,-0.0129,0.0108,0.0115,0.0058,0.0014,-0.0474,-0.0043,0.0115,0.0086,0.014,63.6364,0.1635,0.5043,6.0403,697.0,657.5,590.3333,481.1667,550.8333,6.0076,18.0689,44.8563,26.5356,-0.0011,0.001,0.0011,0.0007,0.0002,1265.0,1.0,0.0,10.2493925,3.75,up,up,1.5,mv,mv,1.1361,1.6698
1728263400000,0.0259,0.0065,0.0158,0.0072,0.0054,0.0388,-0.0173,0.0172,0.0036,0.0205,90.9091,6.3244,-0.7892,-1.2935,552.0,624.5,622.3333,513.1667,528.25,-11.6093,-11.3016,7.5674,4.496,0.0027,0.0006,0.0015,0.0008,0.0006,1270.0,1.0,0.0,12.39244,0.5,up,up,1.75,mv,nm,1.2733,0.2082
1728263700000,0.0302,0.028,0.0144,0.018,0.0075,0.0043,0.0172,-0.0072,0.0208,0.0212,100.0,10.4066,0.1718,0.961,863.0,707.5,704.0,587.3333,524.8333,21.9788,22.5852,46.9353,64.4332,0.002,0.0023,0.0012,0.0018,0.0008,1275.0,1.0,0.0,10.550411,1.75,up,up,0.5,nm,nm,0.5518,0.7047
1728264000000,0.0086,0.0194,0.0216,0.0165,0.0093,-0.0216,0.0129,0.0101,0.0144,0.0205,78.3784,8.2549,-3.792,-3.9638,1376.0,1119.5,930.3333,760.3333,593.8333,22.912,47.904,80.9733,131.7148,0.0004,0.001,0.0013,0.0013,0.0009,1280.0,1.0,0.0,7.057971,2.25,dn,up,-1.75,mv,mv,1.884,0.8486
1728264300000,-0.0302,-0.0108,0.0029,0.0093,0.0068,-0.0388,-0.0388,-0.0129,0.005,0.0187,59.4595,-3.2693,0.7903,4.5823,593.0,984.5,944.0,783.1667,608.75,-39.7664,-37.1822,-24.2818,-2.5873,-0.003,-0.0006,0.0002,0.0007,0.0007,1285.0,1.0,0.0,2.1887465,2.75,up,up,3.0,mv,mv,2.1738,1.043
1728264600000,0.0517,0.0108,0.0101,0.0122,0.0111,0.0819,-0.0086,-0.0043,0.0021,0.0233,91.8919,7.5597,-2.5079,-3.2983,931.0,762.0,966.6667,835.3333,638.0833,22.1785,-3.6897,11.4525,45.9057,0.0032,0.0008,0.0006,0.0008,0.001,1290.0,1.0,0.0,2.5987635,-5.25,up,dn,1.0,nm,mv,0.6288,1.999
1728264900000,0.0172,0.0345,0.0129,0.0172,0.0115,-0.0345,0.0453,-0.0086,0.0115,0.0223,92.6829,12.7099,2.5834,5.0914,1189.0,1060.0,904.3333,917.3333,699.25,12.1698,31.4781,29.6148,70.0393,0.0008,0.0019,0.0008,0.0011,0.001,1295.0,1.0,0.0,3.1634912,-7.25,dn,dn,-1.25,mv,mv,0.8617,3.0808
1728265200000,-0.0215,-0.0022,0.0158,0.0093,0.0083,-0.0388,-0.0129,0.0129,0.0022,0.0165,78.5714,4.2175,0.5027,-2.0807,1071.0,1130.0,1063.6667,1003.8333,758.5,-5.2212,0.6894,6.691,41.1997,-0.0012,-0.0001,0.0009,0.0005,0.0006,1300.0,1.0,0.0,0.24119943,-5.75,dn,dn,-5.0,mv,mv,3.0451,3.032
1728265500000,-0.0862,-0.0538,-0.0302,-0.0101,0.004,-0.0646,-0.0883,-0.0402,-0.028,0.0133,27.5,-33.8298,-13.6553,-14.158,1534.0,1302.5,1264.6667,1115.6667,851.5,17.7735,21.2968,37.4963,80.1527,-0.0033,-0.0024,-0.0014,-0.0005,0.0003,1305.0,1.0,0.0,0.9599478,1.25,dn,up,-1.0,nm,nm,0.3982,0.5811
1728265800000,-0.0172,-0.0517,-0.0416,-0.0144,0.0011,0.0689,-0.0495,-0.0546,-0.0309,0.0097,17.5,-39.6066,-2.6353,11.0201,1735.0,1634.5,1446.6667,1175.5,967.9167,6.1487,19.9309,47.5968,79.251,-0.0006,-0.0018,-0.0017,-0.0007,0.0001,1310.0,1.0,0.0,6.019058,3.0,up,up,0.25,nm,mv,0.1014,1.0729
1728266100000,0.0043,-0.0065,-0.033,-0.0086,0.0004,0.0216,0.0474,-0.0488,-0.018,0.0068,20.0,-34.7609,1.85,4.4853,800.0,1267.5,1356.3333,1210.0,996.5833,-36.8836,-41.0174,-33.8843,-19.7257,0.0003,-0.0003,-0.0014,-0.0004,0.0,1315.0,1.0,0.0,1.1682011,0.0,up,dn,2.0,mv,nm,0.8151,0.0
1728266400000,0.0345,0.0194,0.0072,-0.0115,0.0004,0.0302,0.0711,0.0373,-0.0237,0.0014,40.0,-17.6588,-0.1336,-1.9837,793.0,796.5,1109.3333,1187.0,1011.1667,-0.4394,-28.5156,-33.1929,-21.5757,0.0025,0.0014,0.0004,-0.0006,0.0,1320.0,1.0,0.0,-1.1702074,-1.25,up,dn,0.75,nm,nm,0.3356,0.3979
1728266700000,0.0129,0.0237,0.0172,-0.0122,0.0025,-0.0216,0.0302,0.0589,-0.0294,0.0011,47.5,-10.5264,2.8353,2.9689,735.0,764.0,776.0,1111.3333,1014.3333,-3.7958,-5.2835,-33.8632,-27.5386,0.001,0.0018,0.0013,-0.0006,0.0001,1325.0,1.0,0.0,0.07605842,-3.0,dn,dn,-2.75,mv,mv,1.2471,0.9382
1728267000000,-0.0474,-0.0172,0.0,-0.0165,-0.0036,-0.0603,-0.0366,0.033,-0.0259,-0.009,20.0,-27.1274,-4.0552,-6.8905,857.0,796.0,795.0,1075.6667,1039.75,7.6633,7.7987,-20.3285,-17.5763,-0.0032,-0.0013,0.0,-0.0009,-0.0002,1330.0,1.0,0.0,-1.7919763,-1.0,up,dn,0.75,nm,nm,0.3214,0.3139
1728267300000,0.0129,-0.0172,-0.0072,0.0,-0.005,0.0603,-0.041,-0.0144,0.0101,-0.0126,27.5,-17.8815,1.2186,5.2738,694.0,775.5,762.0,935.6667,1025.6667,-10.5093,-8.9239,-25.8283,-32.3367,0.0011,-0.0013,-0.0005,0.0,-0.0003,1335.0,1.0,0.0,0.42320162,0.25,dn,up,-1.0,mv,nm,0.6606,0.078
1728267600000,-0.0172,-0.0022,-0.0172,0.0,-0.0072,-0.0302,0.0151,-0.0345,0.0144,-0.0165,17.5,-21.0991,4.4692,3.2506,631.0,662.5,727.3333,751.6667,963.5833,-4.7547,-13.2447,-16.0532,-34.5153,-0.0016,-0.0002,-0.0014,0.0,-0.0004,1340.0,1.0,0.0,1.6293206,-0.25,dn,dn,-0.75,nm,nm,0.4954,0.0758
1728267900000,-0.0129,-0.0151,-0.0057,-0.0029,-0.0057,0.0043,0.0021,-0.0057,0.0057,-0.0126,10.0,-22.976,4.3853,-0.0839,513.0,572.0,612.6667,703.8333,956.9167,-10.3147,-16.2677,-27.1134,-46.3903,-0.0015,-0.0015,-0.0005,-0.0002,-0.0003,1345.0,1.0,0.0,4.145537,-0.25,up,dn,2.0,mv,nm,1.3054,0.0756
1728268200000,0.0345,0.0108,0.0014,-0.0029,-0.0072,0.0474,0.0129,0.0086,0.0086,-0.0183,30.0,-4.7363,1.908,-2.4773,341.0,427.0,495.0,628.5,907.75,-20.1405,-31.1111,-45.7438,-62.4346,0.0059,0.0015,0.0002,-0.0003,-0.0005,1350.0,1.0,0.0,2.890792,-1.0,dn,dn,-1.5,mv,nm,0.9791,0.3135
1728268500000,-0.0259,0.0043,-0.0014,-0.0093,-0.0108,-0.0604,0.0194,0.0158,0.0029,-0.0223,15.0,-10.9589,1.9011,-0.0069,228.0,284.5,360.6667,544.0,827.6667,-19.8594,-36.7837,-58.0882,-72.4527,-0.0066,0.0009,-0.0002,-0.001,-0.0008,1355.0,1.0,0.0,1.7579944,-0.25,dn,dn,-0.75,nm,nm,0.4879,0.0793
1728268800000,-0.0129,-0.0194,-0.0014,-0.0036,-0.0101,0.0129,-0.0302,0.0043,0.0129,-0.0183,8.8235,-11.835,3.4303,1.5292,558.0,393.0,375.6667,494.1667,784.9167,41.9847,48.5359,12.9174,-28.9097,-0.0013,-0.0029,-0.0002,-0.0004,-0.0007,1360.0,1.0,0.0,0.50395584,0.0,up,dn,1.25,mv,nm,1.0394,0.0
1728269100000,0.0216,0.0043,-0.0057,-0.0022,-0.0011,0.0345,-0.0,-0.0072,-0.0022,-0.005,34.7826,-3.3194,1.7268,-1.7035,623.0,590.5,469.6667,482.3333,709.0,5.5038,32.6473,29.1638,-12.1298,0.002,0.0004,-0.0007,-0.0003,-0.0001,1365.0,1.0,0.0,4.4072876,0.0,dn,dn,-0.75,nm,nm,0.5855,0.0
1728269400000,-0.0129,0.0043,-0.0014,-0.0014,-0.0007,-0.0345,0.0237,-0.0,-0.0014,-0.0018,21.7391,-8.543,5.2926,3.5657,520.0,571.5,567.0,463.8333,607.75,-9.0114,-8.2892,12.1092,-14.4385,-0.0014,0.0004,-0.0001,-0.0002,-0.0001,1370.0,1.0,0.0,6.8722496,-0.5,dn,dn,-0.5,nm,nm,0.3982,0.1778
1728269700000,-0.0086,-0.0108,0.0,-0.0007,-0.0018,0.0043,-0.0151,0.0014,0.0022,-0.0022,13.0435,-14.531,3.4416,-1.851,490.0,505.0,544.3333,460.0,581.9167,-2.9703,-9.9816,6.5217,-15.7955,-0.001,-0.0012,0.0,-0.0001,-0.0002,1375.0,1.0,0.0,7.3943853,0.75,up,up,1.25,mv,nm,1.0107,0.2676
1728270000000,0.0216,0.0065,0.0,-0.0029,-0.0029,0.0302,0.0022,0.0057,-0.0,-0.0032,34.7826,-3.1203,1.5152,-1.9264,479.0,484.5,496.3333,483.0,555.75,-1.1352,-3.4923,-0.8282,-13.8102,0.0026,0.0008,0.0,-0.0003,-0.0003,1380.0,1.0,0.0,5.2743416,-1.5,dn,dn,-1.25,mv,mv,1.1933,0.5469
1728270300000,-0.0216,0.0,-0.0029,-0.0022,-0.0057,-0.0431,0.0108,-0.0014,0.0072,-0.0083,13.0435,-10.0375,0.0586,-1.4566,399.0,439.0,456.0,511.5,527.75,-9.1116,-12.5,-21.9941,-24.396,-0.0031,0.0,-0.0004,-0.0002,-0.0006,1385.0,1.0,0.0,5.3478765,-1.75,up,dn,0.75,nm,mv,0.752,0.6631
