FT,ToD,DoW,DIR,MOVE
600,4,1,up,mv
605,4,1,dn,mv
610,4,1,dn,mv
615,4,1,up,nm
620,4,1,up,mv
625,4,1,dn,mv
630,4,1,dn,nm
635,4,1,dn,nm
640,4,1,dn,nm
645,4,1,up,mv
650,4,1,dn,nm
655,4,1,dn,nm
660,4,1,dn,mv
665,4,1,up,mv
670,4,1,dn,mv
675,4,1,up,mv
680,4,1,dn,mv
685,4,1,up,nm
690,4,1,up,mv
695,4,1,dn,nm
700,4,1,dn,mv
705,4,1,dn,mv
710,4,1,up,mv
715,4,1,dn,mv
720,4,1,up,nm
725,4,1,dn,mv
730,4,1,up,nm
735,4,1,up,nm
740,4,1,up,nm
745,4,1,dn,mv
750,4,1,up,nm
755,4,1,dn,nm
760,4,1,dn,mv
765,4,1,dn,mv
770,4,1,up,mv
775,4,1,up,mv
780,4,1,dn,nm
785,4,1,up,nm
790,4,1,up,nm
795,4,1,dn,nm
800,4,1,up,nm
805,4,1,dn,nm
810,4,1,dn,nm
815,4,1,up,nm
820,4,1,up,mv
825,4,1,dn,mv
830,4,1,dn,nm
835,4,1,up,mv
840,4,1,dn,nm
845,4,1,up,mv
850,4,1,dn,nm
855,4,1,dn,nm
860,4,1,dn,mv
865,4,1,up,mv
870,4,1,up,mv
875,4,1,dn,nm
880,4,1,up,nm
885,4,1,dn,nm
890,4,1,up,nm
895,4,1,up,mv
900,4,1,dn,nm
905,4,1,dn,mv
910,4,1,up,mv
915,4,1,dn,mv
920,4,1,dn,mv
925,4,1,up,mv
930,4,1,dn,mv
935,4,1,dn,nm
940,4,1,dn,nm
945,4,0,dn,mv
950,4,0,up,mv
955,4,0,dn,mv
960,4,0,dn,mv
965,4,0,dn,mv
970,4,0,dn,mv
975,4,0,dn,mv
980,4,0,up,nm
985,4,0,up,nm
990,4,0,dn,nm
995,4,0,up,nm
1000,4,0,dn,mv
1005,4,0,dn,nm
1010,4,0,up,mv
1015,4,0,up,mv
1080,5,0,dn,mv
1085,5,0,dn,nm
1090,5,0,up,nm
1095,5,0,dn,nm
1100,5,0,up,nm
1105,5,0,dn,nm
1110,5,0,up,nm
1115,5,0,up,nm
1120,5,0,up,nm
1125,5,0,dn,nm
1130,5,0,dn,nm
1135,5,0,dn,nm
1140,5,0,dn,nm
1145,5,0,up,nm
1150,5,0,dn,nm
1155,5,0,dn,nm
1160,5,0,up,nm
1165,5,0,up,nm
1170,5,0,up,mv
1175,5,0,dn,nm
1180,5,0,dn,nm
1185,5,0,dn,nm
1190,5,0,up,nm
1195,5,0,dn,mv
1200,5,0,up,mv
1205,5,0,dn,mv
1210,5,0,dn,nm
1215,5,0,dn,nm
1220,5,0,dn,nm
1225,5,0,up,nm
1230,5,0,dn,nm
1235,5,0,dn,nm
1240,5,0,dn,mv
1245,5,0,dn,mv
1250,5,0,up,mv
1255,5,0,up,mv
1260,5,0,up,nm
1265,5,0,dn,nm
1270,5,0,up,nm
1275,5,0,dn,mv
1280,5,0,up,nm
1285,5,0,up,nm
1290,5,0,up,nm
1295,5,0,up,nm
1300,5,0,dn,mv
1305,5,0,dn,mv
1310,5,0,up,nm
1315,5,0,up,nm
1320,5,0,up,nm
1325,5,0,dn,nm
1330,5,0,up,nm
1335,5,0,up,mv
1340,5,0,dn,mv
1345,5,0,dn,mv
1350,5,0,dn,mv
1355,5,0,dn,nm
1360,5,0,dn,mv
1365,5,0,dn,nm
1370,5,0,up,nm
1375,5,0,dn,mv
1380,5,0,up,nm
1385,5,0,up,mv
1390,5,0,dn,mv
1395,5,0,up,mv
1400,5,0,up,mv
1405,5,0,up,nm
1410,5,0,up,nm
1415,5,0,up,nm
1420,5,0,dn,nm
1425,5,0,up,nm
1430,5,0,up,nm
1435,5,0,dn,nm
0,5,0,dn,mv
5,5,0,dn,nm
10,5,0,dn,nm
15,5,0,dn,nm
20,5,0,up,mv
25,5,0,dn,mv
30,5,0,dn,nm
35,5,0,dn,mv
40,5,0,up,nm
45,5,0,up,nm
50,5,0,up,mv
55,5,0,dn,mv
60,5,0,dn,mv
65,5,0,up,nm
70,5,0,up,mv
75,5,0,dn,mv
80,5,0,dn,mv
85,5,0,dn,nm
90,5,0,dn,nm
95,5,0,dn,nm
100,5,0,up,mv
105,5,0,dn,nm
110,5,0,dn,nm
115,5,0,dn,mv
120,5,0,up,nm
