fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
84.6154,75.641,8.9744,0,0,1625,1.9913,3.1485
94,83.8974,10.1026,1,0,6314,1.0856,1.845
88,88.8718,-0.8718,1,0,2787,0.0993,1.9902
78.1818,86.7273,-8.5455,0,0,4110,2.7845,1.855
89.2308,85.1375,4.0932,1,0,7937,1.7634,1.2712
69.2308,78.8811,-9.6503,0,0,4476,2.6827,2.791
97.3684,85.2767,12.0918,1,0,6493,0.0812,1.1268
93.9759,86.8584,7.1175,1,0,5127,0.1621,0.74
92.8571,94.7338,-1.8767,1,0,3848,1.3719,0.1709
89.2857,92.0396,-2.7539,1,0,2883,1.5188,0.3995
95.2381,92.4603,2.7778,1,0,3530,0.8805,-2.0583
94.9495,93.1578,1.7917,1,0,7987,-1.0695,-1.837
93.6842,94.6239,-0.9397,1,0,3305,-0.8855,-3.1149
90.3226,92.9854,-2.6628,1,0,4425,-2.9528,-1.6785
79.5699,87.8589,-8.289,0,0,4027,-1.175,-0.7356
80.6452,83.5125,-2.8674,1,0,12351,-2.5771,-0.4883
31.7647,63.9933,-32.2285,0,0,54773,0.7706,1.937
53.012,55.1406,-2.1286,0,0,35255,0.2567,2.2814
17.0732,33.95,-16.8768,0,0,28363,1.9538,3.6503
43.4211,37.8354,5.5856,0,0,35886,1.2085,3.45
55.2632,38.5858,16.6774,0,0,30906,2.0046,2.7969
63.1579,53.9474,9.2105,0,0,26007,1.9688,2.3856
76.3158,64.9123,11.4035,0,0,30309,2.5245,3.0854
100,79.8246,20.1754,0,0,24960,1.2296,2.1861
92,89.4386,2.5614,1,0,27055,0.8194,1.1238
97.541,96.5137,1.0273,1,0,26665,1.1044,0.1367
94.2623,94.6011,-0.3388,1,0,25997,1.3835,-0.9089
91.8033,94.5355,-2.7322,1,0,20736,0.5296,0.3368
97.9866,94.6841,3.3025,1,0,28034,-0.9084,-0.7979
98.0263,95.9387,2.0876,1,0,18134,-2.1444,-0.6588
82.2368,92.7499,-10.5131,1,0,20797,-0.1055,0.4289
80.9211,87.0614,-6.1404,1,0,20401,-0.0351,0.561
57.8947,73.6842,-15.7895,0,0,25760,1.4149,1.634
80.2632,73.0263,7.2368,0,0,18875,0.5559,0.7501
80.2632,72.807,7.4561,0,0,17389,0.6259,1.1399
84.8684,81.7982,3.0702,1,0,12526,0.3166,0.7503
90.3448,85.1588,5.186,1,0,11311,0.2464,0.4246
90.9774,88.7302,2.2472,1,0,9355,0.5983,0.2613
89.1473,90.1565,-1.0092,1,0,10980,0.4931,-0.3577
93.913,91.3459,2.5671,1,0,12814,0.2117,-0.6115
89.3805,90.8136,-1.4331,1,0,19056,-0.3154,-1.0146
81.5217,88.2718,-6.75,1,0,14753,-0.8657,-0.8162
78.8235,83.2419,-4.4184,0,0,11728,-0.8543,-0.4073
75.2941,78.5465,-3.2523,0,0,10254,-0.8238,-0.4992
50.5882,68.2353,-17.6471,0,0,14500,-0.0364,0
49.4118,58.4314,-9.0196,0,0,13461,0.4766,-0.2192
48.2353,49.4118,-1.1765,0,0,12377,0.2781,0.0627
49.4118,49.0196,0.3922,0,0,10957,0.0397,-0.219
63.5294,53.7255,9.8039,0,0,7447,-0.7557,-0.4661
56.4706,56.4706,0,0,0,7128,-0.1996,-0.062
48.7805,56.2602,-7.4797,0,0,7062,-0.3293,-0.4011
15.2542,40.1684,-24.9142,0,0,11493,0.1723,-0.4298
28.8136,30.9494,-2.1359,0,0,8834,0.1449,-0.0919
15.2542,19.774,-4.5198,0,1,7302,-0.2488,0.1225
22.0339,22.0339,0,0,0,6443,-0.8964,0.3061
33.8983,23.7288,10.1695,0,0,7341,-0.3081,0.0613
6.7797,20.904,-14.1243,0,0,9359,0.4877,0.1227
4.4776,15.0519,-10.5742,0,1,9301,1.4708,0.1845
41.9355,17.7309,24.2046,0,0,9605,0.4281,-1.7304
40.3226,28.9119,11.4107,0,0,10826,-0.3341,-1.4013
60.3448,47.5343,12.8105,0,0,8733,-1.4156,-1.5279
66.6667,55.778,10.8886,0,0,7480,-3.359,-1.0014
43.4783,56.8299,-13.3517,0,0,8849,-2.2167,0.2015
32.6531,47.5993,-14.9463,0,0,12188,-1.5809,-0.0868
7.3171,27.8161,-20.4991,0,0,22811,1.533,1.2928
18.2927,19.4209,-1.1283,0,1,13326,2.2314,1.2117
37.3737,20.9945,16.3792,0,0,23627,1.2144,1.4798
55.6701,37.1122,18.5579,0,0,11808,0.6088,1.3494
85.4167,59.4868,25.9298,0,0,11519,-0.3507,0.5329
67.7083,69.5984,-1.89,0,0,6634,1.0308,0.8114
70.8333,74.6528,-3.8194,0,0,19574,1.4051,1.591
74.7475,71.0964,3.6511,0,0,17731,1.1089,0.9842
89.899,78.4933,11.4057,0,0,12316,0.2089,1.8825
95.3271,86.6579,8.6692,1,0,11329,0.9644,2.3231
93.5185,92.9149,0.6036,1,0,9157,0.3353,2.0619
87.037,91.9609,-4.9238,1,0,8006,2.3449,2.2545
85.034,88.5299,-3.4958,1,0,19830,2.1503,0.6184
74.1497,82.0736,-7.9239,0,0,30637,2.2389,1.0258
98.7261,85.9699,12.7562,1,0,23725,0.7755,-0.4139
98.9305,90.6021,8.3284,1,0,23634,-1.2028,-2.681
89.7959,95.8175,-6.0216,1,0,28036,-0.925,-2.7769
90.8163,93.1809,-2.3646,1,0,20822,-1.1721,-3.149
75.5102,85.3741,-9.8639,0,0,21323,-1.8661,-1.8727
75,80.4422,-5.4422,0,0,21836,-2.1742,-1.3496
66.2651,72.2584,-5.9934,0,0,23627,-2.3699,-0.115
31.9277,57.7309,-25.8032,0,0,35759,-0.4031,0.6204
20.4819,39.5582,-19.0763,0,0,36815,0.5667,0.5752
9.3023,20.5707,-11.2683,0,0,45354,2.0913,0.6431
24.4186,18.0676,6.351,0,0,37127,0.9542,0.8918
37.2093,23.6434,13.5659,0,0,27977,0.0217,1.067
64.5349,42.0543,22.4806,0,0,28891,-1.4041,-0.5647
50,50.5814,-0.5814,0,0,30737,-0.1086,-0.0679
37.7907,50.7752,-12.9845,0,0,54382,1.005,0.5025
25.5814,37.7907,-12.2093,0,0,116737,0.9206,1.2887
47.093,36.8217,10.2713,0,0,43840,0.0439,0.6106
64.5349,45.7364,18.7984,0,0,22661,-0.5307,-0.1131
50,53.876,-3.876,0,0,12389,0.3333,0.4977
48.2558,54.2636,-6.0078,0,0,7270,0.5541,0.4294
51.7857,50.0138,1.7719,0,0,6819,0.421,0.2712
60.119,53.3869,6.7322,0,0,3412,0.1554,-0.0453
72.4832,61.4627,11.0206,0,0,3389,-0.134,0.8152
71.1409,67.9144,3.2265,0,0,1702,-0.1569,0.9937
72.4832,72.0358,0.4474,0,0,1565,-0.2015,0.8555
68.4564,70.6935,-2.2371,0,0,1344,0.932,0.9871
66.443,69.1275,-2.6846,0,0,1632,1.112,1.0259
